Gene stable ID,NCBI gene (formerly Entrezgene) ID,Gene name
ENSG00000274917,124907122,RNA5-8SN5
ENSG00000274917,124907123,RNA5-8SN5
ENSG00000274917,124907124,RNA5-8SN5
ENSG00000274917,124907125,RNA5-8SN5
ENSG00000274917,124907126,RNA5-8SN5
ENSG00000274917,124907127,RNA5-8SN5
ENSG00000274917,124907128,RNA5-8SN5
ENSG00000274917,124907129,RNA5-8SN5
ENSG00000274917,124907130,RNA5-8SN5
ENSG00000274917,124907131,RNA5-8SN5
ENSG00000274917,124907132,RNA5-8SN5
ENSG00000274917,124907133,RNA5-8SN5
ENSG00000274917,124907134,RNA5-8SN5
ENSG00000274917,124907135,RNA5-8SN5
ENSG00000274917,124907136,RNA5-8SN5
ENSG00000274917,124907137,RNA5-8SN5
ENSG00000274917,124907138,RNA5-8SN5
ENSG00000274917,124907139,RNA5-8SN5
ENSG00000274917,124907140,RNA5-8SN5
ENSG00000274917,124907141,RNA5-8SN5
ENSG00000274917,124907142,RNA5-8SN5
ENSG00000274917,124907143,RNA5-8SN5
ENSG00000274917,124907144,RNA5-8SN5
ENSG00000274917,124907145,RNA5-8SN5
ENSG00000274917,124907146,RNA5-8SN5
ENSG00000274917,124907147,RNA5-8SN5
ENSG00000274917,124907148,RNA5-8SN5
ENSG00000274917,124907149,RNA5-8SN5
ENSG00000274917,124907150,RNA5-8SN5
ENSG00000274917,124907151,RNA5-8SN5
ENSG00000274917,124907152,RNA5-8SN5
ENSG00000274917,124907153,RNA5-8SN5
ENSG00000274917,124907154,RNA5-8SN5
ENSG00000274917,124907155,RNA5-8SN5
ENSG00000274917,124907160,RNA5-8SN5
ENSG00000274917,124907172,RNA5-8SN5
ENSG00000274917,124907183,RNA5-8SN5
ENSG00000274917,124907194,RNA5-8SN5
ENSG00000274917,124907205,RNA5-8SN5
ENSG00000274917,124907216,RNA5-8SN5
ENSG00000274917,124907227,RNA5-8SN5
ENSG00000274917,124907238,RNA5-8SN5
ENSG00000274917,124907248,RNA5-8SN5
ENSG00000274917,124907258,RNA5-8SN5
ENSG00000274917,124907269,RNA5-8SN5
ENSG00000274917,124907280,RNA5-8SN5
ENSG00000274917,124907291,RNA5-8SN5
ENSG00000274917,124907302,RNA5-8SN5
ENSG00000274917,124907313,RNA5-8SN5
ENSG00000274917,124907324,RNA5-8SN5
ENSG00000274917,124907327,RNA5-8SN5
ENSG00000274917,124907328,RNA5-8SN5
ENSG00000274917,124907329,RNA5-8SN5
ENSG00000274917,124907330,RNA5-8SN5
ENSG00000274917,124907331,RNA5-8SN5
ENSG00000274917,124907332,RNA5-8SN5
ENSG00000274917,124907333,RNA5-8SN5
ENSG00000274917,124907334,RNA5-8SN5
ENSG00000274917,124907335,RNA5-8SN5
ENSG00000274917,124907336,RNA5-8SN5
ENSG00000274917,124907337,RNA5-8SN5
ENSG00000274917,124907338,RNA5-8SN5
ENSG00000274917,124907339,RNA5-8SN5
ENSG00000274917,124907340,RNA5-8SN5
ENSG00000274917,124907341,RNA5-8SN5
ENSG00000274917,124907342,RNA5-8SN5
ENSG00000274917,124907343,RNA5-8SN5
ENSG00000274917,124907439,RNA5-8SN5
ENSG00000274917,124907440,RNA5-8SN5
ENSG00000274917,124907450,RNA5-8SN5
ENSG00000274917,124907458,RNA5-8SN5
ENSG00000274917,124907467,RNA5-8SN5
ENSG00000274917,124907475,RNA5-8SN5
ENSG00000274917,124907476,RNA5-8SN5
ENSG00000274917,124907477,RNA5-8SN5
ENSG00000274917,124907478,RNA5-8SN5
ENSG00000274917,124907479,RNA5-8SN5
ENSG00000274917,124907480,RNA5-8SN5
ENSG00000274917,124907481,RNA5-8SN5
ENSG00000274917,124907482,RNA5-8SN5
ENSG00000274917,124907483,RNA5-8SN5
ENSG00000274917,124907484,RNA5-8SN5
ENSG00000274917,124907572,RNA5-8SN5
ENSG00000274917,124907573,RNA5-8SN5
ENSG00000274917,124907574,RNA5-8SN5
ENSG00000274917,124907575,RNA5-8SN5
ENSG00000274917,124907576,RNA5-8SN5
ENSG00000274917,124907577,RNA5-8SN5
ENSG00000274917,124907578,RNA5-8SN5
ENSG00000274917,124907579,RNA5-8SN5
ENSG00000274917,124907580,RNA5-8SN5
ENSG00000274917,124907581,RNA5-8SN5
ENSG00000274917,124907584,RNA5-8SN5
ENSG00000274917,124907585,RNA5-8SN5
ENSG00000274917,124907586,RNA5-8SN5
ENSG00000274917,124907587,RNA5-8SN5
ENSG00000274917,124907588,RNA5-8SN5
ENSG00000274917,124907589,RNA5-8SN5
ENSG00000274917,124907590,RNA5-8SN5
ENSG00000274917,124907591,RNA5-8SN5
ENSG00000274917,124907592,RNA5-8SN5
ENSG00000274917,124907593,RNA5-8SN5
ENSG00000274917,124907594,RNA5-8SN5
ENSG00000274917,124907595,RNA5-8SN5
ENSG00000274917,124907596,RNA5-8SN5
ENSG00000274917,124907597,RNA5-8SN5
ENSG00000274917,124907598,RNA5-8SN5
ENSG00000274917,124907600,RNA5-8SN5
ENSG00000274917,124907611,RNA5-8SN5
ENSG00000274917,124907622,RNA5-8SN5
ENSG00000274917,124907633,RNA5-8SN5
ENSG00000274917,124907644,RNA5-8SN5
ENSG00000274917,124907655,RNA5-8SN5
ENSG00000274917,124907662,RNA5-8SN5
ENSG00000274917,124907673,RNA5-8SN5
ENSG00000274917,124907684,RNA5-8SN5
ENSG00000274917,124907694,RNA5-8SN5
ENSG00000274917,124907705,RNA5-8SN5
ENSG00000274917,124907709,RNA5-8SN5
ENSG00000274917,124907710,RNA5-8SN5
ENSG00000274917,124907711,RNA5-8SN5
ENSG00000274917,124907712,RNA5-8SN5
ENSG00000274917,124907713,RNA5-8SN5
ENSG00000274917,124907714,RNA5-8SN5
ENSG00000274917,124907715,RNA5-8SN5
ENSG00000274917,124907716,RNA5-8SN5
ENSG00000274917,124907717,RNA5-8SN5
ENSG00000274917,124907718,RNA5-8SN5
ENSG00000274917,124907719,RNA5-8SN5
ENSG00000274917,124907720,RNA5-8SN5
ENSG00000274917,124907721,RNA5-8SN5
ENSG00000274917,124908237,RNA5-8SN5
ENSG00000274917,124908238,RNA5-8SN5
ENSG00000274917,124908239,RNA5-8SN5
ENSG00000274917,124908240,RNA5-8SN5
ENSG00000274917,124908241,RNA5-8SN5
ENSG00000274917,124908242,RNA5-8SN5
ENSG00000274917,124908243,RNA5-8SN5
ENSG00000274917,124908244,RNA5-8SN5
ENSG00000274917,124908245,RNA5-8SN5
ENSG00000274917,124908246,RNA5-8SN5
ENSG00000274917,124908247,RNA5-8SN5
ENSG00000274917,124908248,RNA5-8SN5
ENSG00000274917,124908249,RNA5-8SN5
ENSG00000274917,124908257,RNA5-8SN5
ENSG00000274917,124908268,RNA5-8SN5
ENSG00000274917,124908278,RNA5-8SN5
ENSG00000274917,124908289,RNA5-8SN5
ENSG00000274917,124908300,RNA5-8SN5
ENSG00000274917,124908310,RNA5-8SN5
ENSG00000274917,124908316,RNA5-8SN5
ENSG00000274917,124908327,RNA5-8SN5
ENSG00000274917,124908336,RNA5-8SN5
ENSG00000274917,124908347,RNA5-8SN5
ENSG00000274917,124908358,RNA5-8SN5
ENSG00000274917,124908368,RNA5-8SN5
ENSG00000274917,124908369,RNA5-8SN5
ENSG00000274917,124908370,RNA5-8SN5
ENSG00000274917,124908371,RNA5-8SN5
ENSG00000274917,124908372,RNA5-8SN5
ENSG00000274917,124908373,RNA5-8SN5
ENSG00000274917,124908374,RNA5-8SN5
ENSG00000274917,124908375,RNA5-8SN5
ENSG00000274917,124908376,RNA5-8SN5
ENSG00000274917,124908377,RNA5-8SN5
ENSG00000274917,124908378,RNA5-8SN5
ENSG00000274917,124908379,RNA5-8SN5
ENSG00000274917,124908380,RNA5-8SN5
ENSG00000274917,124908381,RNA5-8SN5
ENSG00000274917,124908382,RNA5-8SN5
ENSG00000274917,124908383,RNA5-8SN5
ENSG00000274917,124908384,RNA5-8SN5
ENSG00000274917,124908385,RNA5-8SN5
ENSG00000274917,124908386,RNA5-8SN5
ENSG00000274917,124908387,RNA5-8SN5
ENSG00000274917,124908388,RNA5-8SN5
ENSG00000274917,124908389,RNA5-8SN5
ENSG00000274917,124908390,RNA5-8SN5
ENSG00000274917,124908391,RNA5-8SN5
ENSG00000274917,124908392,RNA5-8SN5
ENSG00000274917,124908393,RNA5-8SN5
ENSG00000274917,124908474,RNA5-8SN5
ENSG00000274917,124908494,RNA5-8SN5
ENSG00000274917,124908504,RNA5-8SN5
ENSG00000274917,124908512,RNA5-8SN5
ENSG00000274917,124908513,RNA5-8SN5
ENSG00000274917,124908514,RNA5-8SN5
ENSG00000274917,124908515,RNA5-8SN5
ENSG00000274917,124908516,RNA5-8SN5
ENSG00000274917,124908517,RNA5-8SN5
ENSG00000274917,124908518,RNA5-8SN5
ENSG00000274917,124908519,RNA5-8SN5
ENSG00000274917,124908520,RNA5-8SN5
ENSG00000274917,124908521,RNA5-8SN5
ENSG00000274917,124908522,RNA5-8SN5
ENSG00000274917,124908523,RNA5-8SN5
ENSG00000274917,124908524,RNA5-8SN5
ENSG00000274917,124908525,RNA5-8SN5
ENSG00000274917,124908527,RNA5-8SN5
ENSG00000307034,,
ENSG00000310277,,
ENSG00000273730,124907114,5_8S_rRNA
ENSG00000273730,124907115,5_8S_rRNA
ENSG00000273730,124907116,5_8S_rRNA
ENSG00000273730,124907117,5_8S_rRNA
ENSG00000273730,124907118,5_8S_rRNA
ENSG00000273730,124907119,5_8S_rRNA
ENSG00000273730,124907120,5_8S_rRNA
ENSG00000273730,124907121,5_8S_rRNA
ENSG00000273730,124907122,5_8S_rRNA
ENSG00000273730,124907123,5_8S_rRNA
ENSG00000273730,124907124,5_8S_rRNA
ENSG00000273730,124907125,5_8S_rRNA
ENSG00000273730,124907126,5_8S_rRNA
ENSG00000273730,124907127,5_8S_rRNA
ENSG00000273730,124907128,5_8S_rRNA
ENSG00000273730,124907129,5_8S_rRNA
ENSG00000273730,124907130,5_8S_rRNA
ENSG00000273730,124907131,5_8S_rRNA
ENSG00000273730,124907132,5_8S_rRNA
ENSG00000273730,124907133,5_8S_rRNA
ENSG00000273730,124907134,5_8S_rRNA
ENSG00000273730,124907135,5_8S_rRNA
ENSG00000273730,124907136,5_8S_rRNA
ENSG00000273730,124907137,5_8S_rRNA
ENSG00000273730,124907138,5_8S_rRNA
ENSG00000273730,124907139,5_8S_rRNA
ENSG00000273730,124907140,5_8S_rRNA
ENSG00000273730,124907141,5_8S_rRNA
ENSG00000273730,124907142,5_8S_rRNA
ENSG00000273730,124907143,5_8S_rRNA
ENSG00000273730,124907144,5_8S_rRNA
ENSG00000273730,124907145,5_8S_rRNA
ENSG00000273730,124907146,5_8S_rRNA
ENSG00000273730,124907147,5_8S_rRNA
ENSG00000273730,124907148,5_8S_rRNA
ENSG00000273730,124907149,5_8S_rRNA
ENSG00000273730,124907150,5_8S_rRNA
ENSG00000273730,124907151,5_8S_rRNA
ENSG00000273730,124907152,5_8S_rRNA
ENSG00000273730,124907153,5_8S_rRNA
ENSG00000273730,124907154,5_8S_rRNA
ENSG00000273730,124907155,5_8S_rRNA
ENSG00000273730,124907160,5_8S_rRNA
ENSG00000273730,124907172,5_8S_rRNA
ENSG00000273730,124907183,5_8S_rRNA
ENSG00000273730,124907194,5_8S_rRNA
ENSG00000273730,124907205,5_8S_rRNA
ENSG00000273730,124907216,5_8S_rRNA
ENSG00000273730,124907227,5_8S_rRNA
ENSG00000273730,124907238,5_8S_rRNA
ENSG00000273730,124907248,5_8S_rRNA
ENSG00000273730,124907258,5_8S_rRNA
ENSG00000273730,124907269,5_8S_rRNA
ENSG00000273730,124907280,5_8S_rRNA
ENSG00000273730,124907291,5_8S_rRNA
ENSG00000273730,124907302,5_8S_rRNA
ENSG00000273730,124907313,5_8S_rRNA
ENSG00000273730,124907324,5_8S_rRNA
ENSG00000273730,124907327,5_8S_rRNA
ENSG00000273730,124907328,5_8S_rRNA
ENSG00000273730,124907329,5_8S_rRNA
ENSG00000273730,124907330,5_8S_rRNA
ENSG00000273730,124907331,5_8S_rRNA
ENSG00000273730,124907332,5_8S_rRNA
ENSG00000273730,124907333,5_8S_rRNA
ENSG00000273730,124907334,5_8S_rRNA
ENSG00000273730,124907335,5_8S_rRNA
ENSG00000273730,124907336,5_8S_rRNA
ENSG00000273730,124907337,5_8S_rRNA
ENSG00000273730,124907338,5_8S_rRNA
ENSG00000273730,124907339,5_8S_rRNA
ENSG00000273730,124907340,5_8S_rRNA
ENSG00000273730,124907341,5_8S_rRNA
ENSG00000273730,124907342,5_8S_rRNA
ENSG00000273730,124907343,5_8S_rRNA
ENSG00000273730,124907439,5_8S_rRNA
ENSG00000273730,124907440,5_8S_rRNA
ENSG00000273730,124907450,5_8S_rRNA
ENSG00000273730,124907458,5_8S_rRNA
ENSG00000273730,124907467,5_8S_rRNA
ENSG00000273730,124907475,5_8S_rRNA
ENSG00000273730,124907476,5_8S_rRNA
ENSG00000273730,124907477,5_8S_rRNA
ENSG00000273730,124907478,5_8S_rRNA
ENSG00000273730,124907479,5_8S_rRNA
ENSG00000273730,124907480,5_8S_rRNA
ENSG00000273730,124907481,5_8S_rRNA
ENSG00000273730,124907482,5_8S_rRNA
ENSG00000273730,124907483,5_8S_rRNA
ENSG00000273730,124907484,5_8S_rRNA
ENSG00000273730,124907572,5_8S_rRNA
ENSG00000273730,124907573,5_8S_rRNA
ENSG00000273730,124907574,5_8S_rRNA
ENSG00000273730,124907575,5_8S_rRNA
ENSG00000273730,124907576,5_8S_rRNA
ENSG00000273730,124907577,5_8S_rRNA
ENSG00000273730,124907578,5_8S_rRNA
ENSG00000273730,124907579,5_8S_rRNA
ENSG00000273730,124907580,5_8S_rRNA
ENSG00000273730,124907581,5_8S_rRNA
ENSG00000273730,124907584,5_8S_rRNA
ENSG00000273730,124907585,5_8S_rRNA
ENSG00000273730,124907586,5_8S_rRNA
ENSG00000273730,124907587,5_8S_rRNA
ENSG00000273730,124907588,5_8S_rRNA
ENSG00000273730,124907589,5_8S_rRNA
ENSG00000273730,124907590,5_8S_rRNA
ENSG00000273730,124907591,5_8S_rRNA
ENSG00000273730,124907592,5_8S_rRNA
ENSG00000273730,124907593,5_8S_rRNA
ENSG00000273730,124907594,5_8S_rRNA
ENSG00000273730,124907595,5_8S_rRNA
ENSG00000273730,124907596,5_8S_rRNA
ENSG00000273730,124907597,5_8S_rRNA
ENSG00000273730,124907598,5_8S_rRNA
ENSG00000273730,124907600,5_8S_rRNA
ENSG00000273730,124907611,5_8S_rRNA
ENSG00000273730,124907622,5_8S_rRNA
ENSG00000273730,124907633,5_8S_rRNA
ENSG00000273730,124907644,5_8S_rRNA
ENSG00000273730,124907655,5_8S_rRNA
ENSG00000273730,124907662,5_8S_rRNA
ENSG00000273730,124907673,5_8S_rRNA
ENSG00000273730,124907684,5_8S_rRNA
ENSG00000273730,124907694,5_8S_rRNA
ENSG00000273730,124907705,5_8S_rRNA
ENSG00000273730,124907709,5_8S_rRNA
ENSG00000273730,124907710,5_8S_rRNA
ENSG00000273730,124907711,5_8S_rRNA
ENSG00000273730,124907712,5_8S_rRNA
ENSG00000273730,124907713,5_8S_rRNA
ENSG00000273730,124907714,5_8S_rRNA
ENSG00000273730,124907715,5_8S_rRNA
ENSG00000273730,124907716,5_8S_rRNA
ENSG00000273730,124907717,5_8S_rRNA
ENSG00000273730,124907718,5_8S_rRNA
ENSG00000273730,124907719,5_8S_rRNA
ENSG00000273730,124907720,5_8S_rRNA
ENSG00000273730,124907721,5_8S_rRNA
ENSG00000273730,124908237,5_8S_rRNA
ENSG00000273730,124908238,5_8S_rRNA
ENSG00000273730,124908239,5_8S_rRNA
ENSG00000273730,124908240,5_8S_rRNA
ENSG00000273730,124908241,5_8S_rRNA
ENSG00000273730,124908242,5_8S_rRNA
ENSG00000273730,124908243,5_8S_rRNA
ENSG00000273730,124908244,5_8S_rRNA
ENSG00000273730,124908245,5_8S_rRNA
ENSG00000273730,124908246,5_8S_rRNA
ENSG00000273730,124908247,5_8S_rRNA
ENSG00000273730,124908248,5_8S_rRNA
ENSG00000273730,124908249,5_8S_rRNA
ENSG00000273730,124908257,5_8S_rRNA
ENSG00000273730,124908268,5_8S_rRNA
ENSG00000273730,124908278,5_8S_rRNA
ENSG00000273730,124908289,5_8S_rRNA
ENSG00000273730,124908300,5_8S_rRNA
ENSG00000273730,124908310,5_8S_rRNA
ENSG00000273730,124908316,5_8S_rRNA
ENSG00000273730,124908327,5_8S_rRNA
ENSG00000273730,124908336,5_8S_rRNA
ENSG00000273730,124908347,5_8S_rRNA
ENSG00000273730,124908358,5_8S_rRNA
ENSG00000273730,124908368,5_8S_rRNA
ENSG00000273730,124908369,5_8S_rRNA
ENSG00000273730,124908370,5_8S_rRNA
ENSG00000273730,124908371,5_8S_rRNA
ENSG00000273730,124908372,5_8S_rRNA
ENSG00000273730,124908373,5_8S_rRNA
ENSG00000273730,124908374,5_8S_rRNA
ENSG00000273730,124908375,5_8S_rRNA
ENSG00000273730,124908376,5_8S_rRNA
ENSG00000273730,124908377,5_8S_rRNA
ENSG00000273730,124908378,5_8S_rRNA
ENSG00000273730,124908379,5_8S_rRNA
ENSG00000273730,124908380,5_8S_rRNA
ENSG00000273730,124908381,5_8S_rRNA
ENSG00000273730,124908382,5_8S_rRNA
ENSG00000273730,124908383,5_8S_rRNA
ENSG00000273730,124908384,5_8S_rRNA
ENSG00000273730,124908385,5_8S_rRNA
ENSG00000273730,124908386,5_8S_rRNA
ENSG00000273730,124908387,5_8S_rRNA
ENSG00000273730,124908388,5_8S_rRNA
ENSG00000273730,124908389,5_8S_rRNA
ENSG00000273730,124908390,5_8S_rRNA
ENSG00000273730,124908391,5_8S_rRNA
ENSG00000273730,124908392,5_8S_rRNA
ENSG00000273730,124908393,5_8S_rRNA
ENSG00000273730,124908474,5_8S_rRNA
ENSG00000273730,124908494,5_8S_rRNA
ENSG00000273730,124908504,5_8S_rRNA
ENSG00000273730,124908512,5_8S_rRNA
ENSG00000273730,124908513,5_8S_rRNA
ENSG00000273730,124908514,5_8S_rRNA
ENSG00000273730,124908515,5_8S_rRNA
ENSG00000273730,124908516,5_8S_rRNA
ENSG00000273730,124908517,5_8S_rRNA
ENSG00000273730,124908518,5_8S_rRNA
ENSG00000273730,124908519,5_8S_rRNA
ENSG00000273730,124908520,5_8S_rRNA
ENSG00000273730,124908521,5_8S_rRNA
ENSG00000273730,124908522,5_8S_rRNA
ENSG00000273730,124908523,5_8S_rRNA
ENSG00000273730,124908524,5_8S_rRNA
ENSG00000273730,124908525,5_8S_rRNA
ENSG00000273730,124908527,5_8S_rRNA
ENSG00000273937,,
ENSG00000277196,,
ENSG00000308580,,
ENSG00000296546,124907018,
ENSG00000303173,,
ENSG00000296902,,
ENSG00000297619,,
ENSG00000296713,,
ENSG00000305511,,
ENSG00000305525,,
ENSG00000278625,124905334,U6
ENSG00000294644,,
ENSG00000306721,,
ENSG00000300051,,
ENSG00000303750,,
ENSG00000278817,,
ENSG00000276017,,
ENSG00000297072,,
ENSG00000300074,,
ENSG00000300093,,
ENSG00000301131,,
ENSG00000300846,,
ENSG00000307470,112268317,
ENSG00000303733,,
ENSG00000305236,,
ENSG00000309233,,
ENSG00000303902,,
ENSG00000302039,,
ENSG00000297844,,
ENSG00000277630,100288966,
ENSG00000295160,,
ENSG00000300815,,
ENSG00000306528,,
ENSG00000304057,,
ENSG00000296348,,
ENSG00000277428,,Y_RNA
ENSG00000307824,,
ENSG00000276256,,
ENSG00000295668,,
ENSG00000304745,101928669,
ENSG00000304745,124907012,
ENSG00000303853,,
ENSG00000303221,,
ENSG00000306744,,
ENSG00000306767,,
ENSG00000308844,,
ENSG00000278793,124905313,U6
ENSG00000298861,,
ENSG00000308643,,
ENSG00000303875,,
ENSG00000303892,,
ENSG00000303912,,
ENSG00000308185,124905312,
ENSG00000308185,124905468,
ENSG00000277374,,U1
ENSG00000303573,105379562,
ENSG00000309296,,
ENSG00000307722,107987009,
ENSG00000274202,,U2
ENSG00000310401,,
ENSG00000309793,,
ENSG00000304792,,
ENSG00000304816,,
ENSG00000309831,,
ENSG00000309258,,
ENSG00000304845,,
ENSG00000275987,,U1
ENSG00000268674,124903857,
ENSG00000268674,124905556,
ENSG00000268674,124905693,
ENSG00000277475,,
ENSG00000275405,124904613,U1
ENSG00000275405,124905321,U1
ENSG00000275405,124905573,U1
ENSG00000275405,124905809,U1
ENSG00000298139,,
ENSG00000301573,,
ENSG00000301587,,
ENSG00000298153,,
ENSG00000298169,,
ENSG00000298181,,
ENSG00000273748,,
ENSG00000296581,,
ENSG00000297972,,
ENSG00000293919,,
ENSG00000296598,,
ENSG00000300519,,
ENSG00000278633,,
ENSG00000278066,,
ENSG00000296618,,
ENSG00000276711,,U2
ENSG00000295378,,
ENSG00000302961,,
ENSG00000304422,102724750,
ENSG00000304422,124907407,
ENSG00000275661,,
ENSG00000276351,,
ENSG00000276345,,
ENSG00000273532,,
ENSG00000294171,,
ENSG00000297558,,
ENSG00000298095,,
ENSG00000296634,,
ENSG00000303588,105379548,
ENSG00000293939,,
ENSG00000294191,,
ENSG00000308966,,
ENSG00000293969,,
ENSG00000309079,,
ENSG00000299852,,
ENSG00000299870,,
ENSG00000299885,,
ENSG00000277400,,
ENSG00000274847,727764,MAFIP
ENSG00000307061,,
ENSG00000298772,,
ENSG00000276312,,
ENSG00000276700,109864274,RNA5-8SN4
ENSG00000276700,124907114,RNA5-8SN4
ENSG00000276700,124907115,RNA5-8SN4
ENSG00000276700,124907116,RNA5-8SN4
ENSG00000276700,124907117,RNA5-8SN4
ENSG00000276700,124907118,RNA5-8SN4
ENSG00000276700,124907119,RNA5-8SN4
ENSG00000276700,124907120,RNA5-8SN4
ENSG00000276700,124907121,RNA5-8SN4
ENSG00000276700,124907122,RNA5-8SN4
ENSG00000276700,124907123,RNA5-8SN4
ENSG00000276700,124907124,RNA5-8SN4
ENSG00000276700,124907125,RNA5-8SN4
ENSG00000276700,124907126,RNA5-8SN4
ENSG00000276700,124907127,RNA5-8SN4
ENSG00000276700,124907128,RNA5-8SN4
ENSG00000276700,124907129,RNA5-8SN4
ENSG00000276700,124907130,RNA5-8SN4
ENSG00000276700,124907131,RNA5-8SN4
ENSG00000276700,124907132,RNA5-8SN4
ENSG00000276700,124907133,RNA5-8SN4
ENSG00000276700,124907134,RNA5-8SN4
ENSG00000276700,124907135,RNA5-8SN4
ENSG00000276700,124907136,RNA5-8SN4
ENSG00000276700,124907137,RNA5-8SN4
ENSG00000276700,124907138,RNA5-8SN4
ENSG00000276700,124907139,RNA5-8SN4
ENSG00000276700,124907140,RNA5-8SN4
ENSG00000276700,124907141,RNA5-8SN4
ENSG00000276700,124907142,RNA5-8SN4
ENSG00000276700,124907143,RNA5-8SN4
ENSG00000276700,124907144,RNA5-8SN4
ENSG00000276700,124907145,RNA5-8SN4
ENSG00000276700,124907146,RNA5-8SN4
ENSG00000276700,124907147,RNA5-8SN4
ENSG00000276700,124907148,RNA5-8SN4
ENSG00000276700,124907149,RNA5-8SN4
ENSG00000276700,124907150,RNA5-8SN4
ENSG00000276700,124907151,RNA5-8SN4
ENSG00000276700,124907152,RNA5-8SN4
ENSG00000276700,124907153,RNA5-8SN4
ENSG00000276700,124907154,RNA5-8SN4
ENSG00000276700,124907155,RNA5-8SN4
ENSG00000276700,124907160,RNA5-8SN4
ENSG00000276700,124907172,RNA5-8SN4
ENSG00000276700,124907183,RNA5-8SN4
ENSG00000276700,124907194,RNA5-8SN4
ENSG00000276700,124907205,RNA5-8SN4
ENSG00000276700,124907216,RNA5-8SN4
ENSG00000276700,124907227,RNA5-8SN4
ENSG00000276700,124907238,RNA5-8SN4
ENSG00000276700,124907248,RNA5-8SN4
ENSG00000276700,124907258,RNA5-8SN4
ENSG00000276700,124907269,RNA5-8SN4
ENSG00000276700,124907280,RNA5-8SN4
ENSG00000276700,124907291,RNA5-8SN4
ENSG00000276700,124907302,RNA5-8SN4
ENSG00000276700,124907313,RNA5-8SN4
ENSG00000276700,124907324,RNA5-8SN4
ENSG00000276700,124907327,RNA5-8SN4
ENSG00000276700,124907328,RNA5-8SN4
ENSG00000276700,124907329,RNA5-8SN4
ENSG00000276700,124907330,RNA5-8SN4
ENSG00000276700,124907331,RNA5-8SN4
ENSG00000276700,124907332,RNA5-8SN4
ENSG00000276700,124907333,RNA5-8SN4
ENSG00000276700,124907334,RNA5-8SN4
ENSG00000276700,124907335,RNA5-8SN4
ENSG00000276700,124907336,RNA5-8SN4
ENSG00000276700,124907337,RNA5-8SN4
ENSG00000276700,124907338,RNA5-8SN4
ENSG00000276700,124907339,RNA5-8SN4
ENSG00000276700,124907340,RNA5-8SN4
ENSG00000276700,124907341,RNA5-8SN4
ENSG00000276700,124907342,RNA5-8SN4
ENSG00000276700,124907343,RNA5-8SN4
ENSG00000276700,124907439,RNA5-8SN4
ENSG00000276700,124907440,RNA5-8SN4
ENSG00000276700,124907450,RNA5-8SN4
ENSG00000276700,124907458,RNA5-8SN4
ENSG00000276700,124907467,RNA5-8SN4
ENSG00000276700,124907475,RNA5-8SN4
ENSG00000276700,124907476,RNA5-8SN4
ENSG00000276700,124907477,RNA5-8SN4
ENSG00000276700,124907478,RNA5-8SN4
ENSG00000276700,124907479,RNA5-8SN4
ENSG00000276700,124907480,RNA5-8SN4
ENSG00000276700,124907481,RNA5-8SN4
ENSG00000276700,124907482,RNA5-8SN4
ENSG00000276700,124907483,RNA5-8SN4
